phiX	phiX174	phiX=5386
16079	Mycobacterium sp. JLS	NC_009077=6048425
symbTher_IAM14863	Symbiobacterium thermophilum IAM 14863	chr=3566135
16070	Yersinia pseudotuberculosis IP 31758	NC_009708=4723306,NC_009705=153140,NC_009704=58679
18883	Mycobacterium tuberculosis H37Ra	NC_009525=4419977
nocaJS61	Nocardioides sp. JS614	plasmid_pNOCA01=307814,chr=4985871
12521	Clostridium perfringens SM101	NC_008265=38092,NC_008264=12206,NC_008263=12397,NC_008262=2897393
acidCryp_JF_5	Acidiphilium cryptum JF-5	plasmid_pACRY07=5629,plasmid_pACRY06=8781,plasmid_pACRY05=37155,plasmid_pACRY04=37415,plasmid_pACRY03=88953,plasmid_pACRY02=187422,plasmid_pACRY01=203589,plasmid_pACRY08=4909,chr=3389227
lactLact	Lactococcus lactis subsp. lactis Il1403	chr=2365589
13082	Bacillus licheniformis ATCC 14580	NC_006322=4222645
344	Rhizobium leguminosarum bv. viciae 3841	NC_008384=684202,NC_008382=151564,NC_008383=147463,NC_008380=5057142,NC_008381=488135,NC_008379=352782,NC_008378=870021
siliPome_DSS_3	Silicibacter pomeroyi DSS-3	chr=4109442,megaplasmid=491611
paraSp_UWE25	Candidatus Protochlamydia amoebophila UWE25	chr=2414465
geobKaus_HTA426	Geobacillus kaustophilus HTA426	chr=3544776,plasmid_pHTA426=47890
rhizEtli_CFN_42	Rhizobium etli CFN 42	d=371254,plasmid_p42c=250948,plasmid_p42b=184338,plasmid_p42a=194229,plasmid_p42f=642517,plasmid_p42e=505334,chr=4381608
13162	Streptococcus thermophilus LMG 18311	NC_006448=1796846
13163	Streptococcus thermophilus CNRZ1066	NC_006449=1796226
18817	Methylobacterium radiotolerans JCM 2831	NC_010510=586164,NC_010502=27836,NC_010505=6077833,NC_010504=22114,NC_010507=21022,NC_010509=47003,NC_010518=36410,NC_010514=42985,NC_010517=37743
28109	Bartonella tribocorum CIP 105476	NC_010161=2619061,NC_010160=23343
dichNodo_VCS1703A	Dichelobacter nodosus VCS1703A	chr=1389350
12931	Xanthomonas oryzae pv. oryzae KACC10331	NC_006834=4941439
eschColi_O157H7	Escherichia coli O157:H7 str. Sakai	plasmid_pOSAK1=3306,chr=5498450,plasmid_pO157=92721
burk383	Burkholderia sp. 383	chr3=1395069,chr2=3587082,chr1=3694126
15759	Psychrobacter sp. PRwf-1	NC_009524=2978976,NC_009516=13956,NC_009517=2117
15758	Staphylococcus aureus subsp. aureus JH1	NC_009632=2906507,NC_009619=30429
27835	Microcystis aeruginosa NIES-843	NC_010296=5842795
campJeju_81_176	Campylobacter jejuni subsp. jejuni 81-176	chr=1616554,plasmid_pVir=37473,plasmid_pTet=45025
15751	Rhodopseudomonas palustris BisA53	NC_008435=5505494
15750	Rhodopseudomonas palustris BisB18	NC_007925=5513844
15757	Staphylococcus aureus subsp. aureus JH9	NC_009477=30429,NC_009487=2906700
15756	Xanthobacter autotrophicus Py2	NC_009717=316164,NC_009720=5308934
15755	Rhodobacter sphaeroides ATCC 17025	NC_009428=3217726,NC_009429=877879,NC_009433=13873,NC_009432=36198,NC_009431=121962,NC_009430=289489
15754	Rhodobacter sphaeroides ATCC 17029	NC_009050=1219053,NC_009040=122606,NC_009049=3147721
13603	Ralstonia eutropha H16	NC_008314=2912490,NC_005241=452156,NC_008313=4052032
shewPutrCN32	Shewanella putrefaciens CN-32	chr=4659220
aerPer1	Aeropyrum pernix K1	chr=1669696
18255	Bacillus thuringiensis str. Al Hakam	NC_008600=5257091,NC_008598=55939
acinSp_ADP1	Acinetobacter sp. ADP1	chr=3598621
anapMarg_ST_MARIES	Anaplasma marginale str. St. Maries	chr=1197687
297	Xanthomonas axonopodis pv. citri str. 306	NC_003922=64920,NC_003921=33700,NC_003919=5175554
desuPsyc_LSV54	Desulfotalea psychrophila LSv54	chr=3523383,plasmid_small=14664,plasmid_large=121587
17227	Desulfovibrio vulgaris subsp. vulgaris DP4	NC_008751=3462887,NC_008741=198504
190	Yersinia enterocolitica subsp. enterocolitica 8081	NC_008791=67721,NC_008800=4615899
193	Clostridium botulinum A str. ATCC 3502	NC_009495=3886916,NC_009496=16344
270	Streptococcus pyogenes str. Manfredo	NC_009332=1841271
16252	Synechococcus sp. JA-2-3B'a(2-13)	NC_007776=3046682
16251	Synechococcus sp. JA-3-3Ab	NC_007775=2932766
16319	Arcobacter butzleri RM4018	NC_009850=2341251
276	Listeria monocytogenes EGD-e	NC_003210=2944528
277	Streptococcus pneumoniae TIGR4	NC_003028=2160842
13427	Heliobacterium modesticaldum Ice1	NC_010337=3075407
279	Staphylococcus epidermidis ATCC 12228	NC_005008=4439,NC_004461=2499279,NC_005003=6585,NC_005006=8007,NC_005007=4679,NC_005004=24365,NC_005005=17261
19979	Flavobacterium psychrophilum JIP02/86	NC_009613=2861988
13548	Prochlorococcus marinus str. AS9601	NC_008816=1669886
16700	Yersinia pestis Pestoides F	NC_009378=137010,NC_009381=4517345,NC_009377=71507
therTher_HB8	Thermus thermophilus HB8	chr=1849742,plasmid_pTT27=256992,plasmid_pTT8=9322
28035	Streptococcus pneumoniae Hungary19A-6	NC_010380=2245615
19575	Bradyrhizobium sp. ORS278	NC_009445=7456587
18083	Escherichia coli C str. ATCC 8739	
methStad1	Methanosphaera stadtmanae DSM 3091	chr=1767403
magnMagn_AMB_1	Magnetospirillum magneticum AMB-1	chr=4967148
13901	Thermoanaerobacter pseudethanolicus ATCC 33223	NC_010321=2362816
methBurt2	Methanococcoides burtonii DSM 6242	chr=2575032
13908	Rhodoferax ferrireducens T118	NC_007901=257447,NC_007908=4712337
13909	Pseudomonas putida F1	NC_009512=5959964
16400	Haemophilus influenzae PittEE	NC_009566=1813033
16401	Haemophilus influenzae PittGG	NC_009567=1887192
100	Mycoplasma pulmonis UAB CTIP	NC_002771=963879
methMari_C7	Methanococcus maripaludis C7	chr=1772694
106	Halobacterium salinarum R1	NC_010364=2000962,NC_010367=40894,NC_010366=147625,NC_010369=194963,NC_010368=284332
geobSulf	Geobacter sulfurreducens PCA	chr=3814139
38	Haemophilus ducreyi 35000HP	NC_002940=1698955
28247	Synechococcus sp. PCC 7002	NC_010480=124030,NC_010479=38515,NC_010478=31972,NC_010475=3008047,NC_010474=186459,NC_010477=16103,NC_010476=4809
16791	Coxiella burnetii RSA 331	NC_010117=2016427,NC_010115=37317
procMari_CCMP1375	Prochlorococcus marinus subsp. marinus str. CCMP1375	chr=1751080
31	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	NC_009653=3478,NC_009652=4259,NC_009651=88582,NC_009650=107576,NC_009648=5315120,NC_009649=175879
oenoOeni_PSU_1	Oenococcus oeni PSU-1	chr=1780517
16817	Pseudomonas stutzeri A1501	NC_009434=4567418
wiggBrev	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	chr=697724,plasmid_pWb1=5280
10639	Mycoplasma hyopneumoniae 7448	NC_007332=920079
10638	Yersinia pestis biovar Microtus str. 91001	NC_005810=4595065,NC_005813=70159,NC_005815=106642,NC_005814=21742,NC_005816=9609
caldMaqu1	Caldivirga maquilingensis IC-167	chr=2077567
salmEnte_PARATYPI_ATC	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	chr=4585229
onioYell_PHYTOPLASMA	Onion yellows phytoplasma OY-M	chr=860631
18459	Francisella tularensis subsp. tularensis WY96-3418	NC_009257=1898476
334	Streptococcus agalactiae NEM316	NC_004368=2211485
mariAqua_VT8	Marinobacter aquaeolei VT8	plasmid_pMAQU01=239623,chr=4326849,plasmid_pMAQU02=213290
16719	Fervidobacterium nodosum Rt17-B1	NC_009718=1948941
330	Streptococcus agalactiae 2603V/R	NC_004116=2160267
333	Streptococcus mutans UA159	NC_004350=2030921
9638	Lactobacillus johnsonii NCC 533	NC_005362=1992676
